# scripts/fleet-package-versions.tsv — observed package versions across the fleet.
# ──────────────────────────────────────────────────────────────────────────────
# WHAT THIS IS FOR. PORTING-MATRIX.md's footnotes state where the fleet sits relative to
# a recorded floor. Those sentences enumerated a dozen distro versions in prose, and prose
# goes stale silently: footnote 34's jq line was corrected twice in one day — once for
# Alpine (#902) and once for Fedora (#904) — because nothing could disagree with it.
#
# This file is the data those sentences assert. gen-porting-matrix.sh renders it into the
# marked block in that footnote, and check-porting-matrix fails when the two diverge. The
# REASONING stays hand-written prose beside the block; only the enumeration is generated.
#
# WHAT IT DOES NOT DO. It cannot notice that a distro shipped a new version — nothing here
# reaches the network, deliberately, because this generator runs inside an offline audit.
# What it does is make staleness VISIBLE: every row carries the date it was checked, and a
# row past FRESH_DAYS is reported as due for re-verification. "Nobody has looked in 90
# days" is a fact you can act on; "as at time of writing" is not.
#
# FORMAT — tab-separated, first field is the record type:
#
#   floor <tool> <version>
#       The recorded floor. at-or-below is DERIVED by comparing each row against it, so a
#       row cannot claim a status its own version contradicts.
#
#   ver <tool> <target> <version> <verified> <source> <probe>
#       One observation. <verified> is ISO date. <source> names where the value was read,
#       because "1.8.2" is worth nothing without it — Repology splits some projects across
#       version-named entries and reports false absences (dotfiles-Alpine#170), so a row
#       read there is weaker evidence than one read from the distro's own index. <source>
#       is PROVENANCE and is not rewritten by the bot.
#
#       <probe> is the Repology repository id the freshness bot re-reads this row from, or
#       `-` for a row only a human can confirm. It is deliberately separate from <source>:
#       an Alpine row whose value came from pkgs.alpinelinux.org keeps saying so even
#       though the bot re-checks it through Repology, because collapsing the two would
#       silently downgrade the recorded evidence to the weaker source.
#
# RE-VERIFYING. `make update-fleet-versions` re-reads every probeable row and rewrites
# <version> and <verified>; `--check` reports without writing, and the freshness bot runs
# it weekly. A row the probe cannot answer keeps its old date and is reported as needing a
# human — which is the honest outcome, not a silent pass. By hand: check <source>, update
# <version> and <verified>, run `make gen-porting-matrix`, commit both.

floor	jq	1.8.2

ver	jq	Arch	1.8.2	2026-09-09	repology:arch	arch
ver	jq	Gentoo	1.8.2	2026-09-09	repology:gentoo	gentoo
ver	jq	openSUSE Tumbleweed	1.8.2	2026-09-09	repology:opensuse_tumbleweed	opensuse_tumbleweed
ver	jq	Homebrew	1.8.2	2026-09-09	repology:homebrew	homebrew
ver	jq	Alpine edge	1.8.2	2026-09-09	repology:alpine_edge	alpine_edge
ver	jq	Alpine 3.24	1.8.2	2026-09-09	pkgs.alpinelinux.org	alpine_3_24
ver	jq	Alpine 3.23	1.8.2	2026-09-09	pkgs.alpinelinux.org	alpine_3_23
ver	jq	Alpine 3.22	1.8.2	2026-09-09	pkgs.alpinelinux.org	alpine_3_22
ver	jq	Fedora Rawhide	1.8.2	2026-09-09	repology:fedora_rawhide	fedora_rawhide
ver	jq	Fedora 45	1.8.2	2026-09-06	packages.fedoraproject.org	fedora_45
ver	jq	Fedora 44	1.8.1	2026-09-09	repology:fedora_44	fedora_44
ver	jq	Fedora 43	1.8.1	2026-09-09	repology:fedora_43	fedora_43
ver	jq	Alpine 3.21	1.7.1	2026-09-09	pkgs.alpinelinux.org	alpine_3_21
ver	jq	Debian 13	1.7.1	2026-09-09	repology:debian_13	debian_13
ver	jq	Ubuntu 24.04	1.7.1	2026-09-09	repology:ubuntu_24_04	ubuntu_24_04
ver	jq	openSUSE Leap 15.x	1.6	2026-09-09	repology:opensuse_leap_15_6	opensuse_leap_15_6
